EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,09/01/2018, ,09/01/2018, ,"232,17",NA,"54080,",3,"0,00","696,51","153.450,00","0 (0,00)","620.053,51"
2,     ,Regular,10/01/2018, ,10/01/2018, ,"-589,92",NA,"54080,",3,"0,00","-1.769,76","153.450,00","1.770 (0,285)","618.283,75"
3,     ,Regular,11/01/2018, ,11/01/2018, ,"-130,89",NA,"54080,",3,"0,00","-392,67","153.450,00","2.162 (0,349)","617.891,08"
4,     ,Regular,12/01/2018, ,12/01/2018, ,"328,25",NA,"54080,",3,"0,00","984,75","153.450,00","1.178 (0,190)","618.875,83"
5,     ,Regular,15/01/2018, ,15/01/2018, ,"-138,67",NA,"54080,",3,"0,00","-416,01","153.450,00","1.594 (0,257)","618.459,82"
6,     ,Regular,16/01/2018, ,16/01/2018, ,"649,06",NA,"54080,",3,"0,00","1.947,18","153.450,00","0 (0,00)","620.407,00"
7,     ,Regular,17/01/2018, ,17/01/2018, ,"408,47",NA,"54080,",3,"0,00","1.225,41","153.450,00","0 (0,00)","621.632,41"
8,     ,Regular,19/01/2018, ,19/01/2018, ,"-299,40",NA,"54080,",3,"0,00","-898,20","153.450,00","898 (0,144)","620.734,21"
9,     ,Regular,22/01/2018, ,22/01/2018, ,"-57,06",NA,"54080,",3,"0,00","-171,18","153.450,00","1.069 (0,172)","620.563,03"
10,     ,Regular,23/01/2018, ,23/01/2018, ,"166,05",NA,"54080,",3,"0,00","498,15","153.450,00","571 (0,0919)","621.061,18"
11,     ,Regular,24/01/2018, ,24/01/2018, ,"1.172,68",NA,"54080,",3,"0,00","3.518,04","153.450,00","0 (0,00)","624.579,22"
12,     ,Regular,25/01/2018, ,25/01/2018, ,"-36,20",NA,"54080,",3,"0,00","-108,60","153.450,00","109 (0,0174)","624.470,62"
13,     ,Regular,31/01/2018, ,31/01/2018, ,"356,33",NA,"54080,",3,"0,00","1.068,99","153.450,00","0 (0,00)","625.539,61"
14,     ,Regular,02/02/2018, ,02/02/2018, ,"-1.164,65",NA,"54080,",3,"0,00","-3.493,95","153.450,00","3.494 (0,559)","622.045,66"
15,     ,Regular,05/02/2018, ,05/02/2018, ,"615,52",NA,"54080,",3,"0,00","1.846,56","153.450,00","1.647 (0,263)","623.892,22"
16,     ,Regular,06/02/2018, ,06/02/2018, ,"1.966,85",NA,"54080,",3,"0,00","5.900,55","153.450,00","0 (0,00)","629.792,77"
17,     ,Regular,07/02/2018, ,07/02/2018, ,"502,47",NA,"54080,",3,"0,00","1.507,41","153.450,00","0 (0,00)","631.300,18"
18,     ,Regular,08/02/2018, ,08/02/2018, ,"-589,92",NA,"54080,",3,"0,00","-1.769,76","153.450,00","1.770 (0,280)","629.530,42"
19,     ,Regular,09/02/2018, ,09/02/2018, ,"1.968,88",NA,"54080,",3,"0,00","5.906,64","153.450,00","0 (0,00)","635.437,06"
20,     ,Regular,13/02/2018, ,13/02/2018, ,"369,86",NA,"54080,",3,"0,00","1.109,58","153.450,00","0 (0,00)","636.546,64"
21,     ,Regular,14/02/2018, ,14/02/2018, ,"834,75",NA,"54080,",3,"0,00","2.504,25","153.450,00","0 (0,00)","639.050,89"
22,     ,Regular,16/02/2018, ,16/02/2018, ,"512,40",NA,"54080,",3,"0,00","1.537,20","153.450,00","0 (0,00)","640.588,09"
23,     ,Regular,19/02/2018, ,19/02/2018, ,"58,51",NA,"54080,",3,"0,00","175,53","153.450,00","0 (0,00)","640.763,62"
24,     ,Regular,20/02/2018, ,20/02/2018, ,"-369,75",NA,"54080,",3,"0,00","-1.109,25","153.450,00","1.109 (0,173)","639.654,37"
25,     ,Regular,21/02/2018, ,21/02/2018, ,"-672,86",NA,"54080,",3,"0,00","-2.018,58","153.450,00","3.128 (0,488)","637.635,79"
26,     ,Regular,22/02/2018, ,22/02/2018, ,"-312,51",NA,"54080,",3,"0,00","-937,53","153.450,00","4.065 (0,634)","636.698,26"
27,     ,Regular,23/02/2018, ,23/02/2018, ,"831,67",NA,"54080,",3,"0,00","2.495,01","153.450,00","1.570 (0,245)","639.193,27"
28,     ,Regular,27/02/2018, ,27/02/2018, ,"-594,86",NA,"54080,",3,"0,00","-1.784,58","153.450,00","3.355 (0,524)","637.408,69"
29,     ,Regular,28/02/2018, ,28/02/2018, ,"353,54",NA,"54080,",3,"0,00","1.060,62","153.450,00","2.294 (0,358)","638.469,31"
30,     ,Regular,01/03/2018, ,01/03/2018, ,"1.261,23",NA,"54080,",3,"0,00","3.783,69","153.450,00","0 (0,00)","642.253,00"
31,     ,Regular,02/03/2018, ,02/03/2018, ,"-1.976,12",NA,"54080,",3,"0,00","-5.928,36","153.450,00","5.928 (0,923)","636.324,64"
32,     ,Regular,05/03/2018, ,05/03/2018, ,"1.147,81",NA,"54080,",3,"0,00","3.443,43","153.450,00","2.485 (0,387)","639.768,07"
33,     ,Regular,07/03/2018, ,07/03/2018, ,"284,19",NA,"54080,",3,"0,00","852,57","153.450,00","1.632 (0,254)","640.620,64"
34,     ,Regular,12/03/2018, ,12/03/2018, ,"-129,22",NA,"54080,",3,"0,00","-387,66","153.450,00","2.020 (0,315)","640.232,98"
35,     ,Regular,13/03/2018, ,13/03/2018, ,"1.156,80",NA,"54080,",3,"0,00","3.470,40","153.450,00","0 (0,00)","643.703,38"
36,     ,Regular,14/03/2018, ,14/03/2018, ,"613,66",NA,"54080,",3,"0,00","1.840,98","153.450,00","0 (0,00)","645.544,36"
37,     ,Regular,15/03/2018, ,15/03/2018, ,"889,25",NA,"54080,",3,"0,00","2.667,75","153.450,00","0 (0,00)","648.212,11"
38,     ,Regular,19/03/2018, ,19/03/2018, ,"198,25",NA,"54080,",3,"0,00","594,75","153.450,00","0 (0,00)","648.806,86"
39,     ,Regular,20/03/2018, ,20/03/2018, ,"774,24",NA,"54080,",3,"0,00","2.322,72","153.450,00","0 (0,00)","651.129,58"
40,     ,Regular,21/03/2018, ,21/03/2018, ,"170,05",NA,"54080,",3,"0,00","510,15","153.450,00","0 (0,00)","651.639,73"
41,     ,Regular,22/03/2018, ,22/03/2018, ,"-9,32",NA,"54080,",3,"0,00","-27,96","153.450,00","28 (0,00429)","651.611,77"
42,     ,Regular,23/03/2018, ,23/03/2018, ,"1.369,96",NA,"54080,",3,"0,00","4.109,88","153.450,00","0 (0,00)","655.721,65"
43,     ,Regular,26/03/2018, ,26/03/2018, ,"2.480,68",NA,"54080,",3,"0,00","7.442,04","153.450,00","0 (0,00)","663.163,69"
44,     ,Regular,27/03/2018, ,27/03/2018, ,"2.761,31",NA,"54080,",3,"0,00","8.283,93","153.450,00","0 (0,00)","671.447,62"
45,     ,Regular,28/03/2018, ,28/03/2018, ,"2.156,35",NA,"54080,",3,"0,00","6.469,05","153.450,00","0 (0,00)","677.916,67"
46,     ,Regular,29/03/2018, ,29/03/2018, ,"430,93",NA,"54080,",3,"0,00","1.292,79","153.450,00","0 (0,00)","679.209,46"
47,     ,Regular,03/04/2018, ,03/04/2018, ,"1.288,39",NA,"54080,",3,"0,00","3.865,17","153.450,00","0 (0,00)","683.074,63"
48,     ,Regular,04/04/2018, ,04/04/2018, ,"6.295,88",NA,"54080,",3,"0,00","18.887,64","153.450,00","0 (0,00)","701.962,27"
49,     ,Regular,05/04/2018, ,05/04/2018, ,"-766,57",NA,"54080,",3,"0,00","-2.299,71","153.450,00","2.300 (0,328)","699.662,56"
50,     ,Regular,06/04/2018, ,06/04/2018, ,"503,50",NA,"54080,",3,"0,00","1.510,50","153.450,00","789 (0,112)","701.173,06"
51,     ,Regular,09/04/2018, ,09/04/2018, ,"-458,36",NA,"54080,",3,"0,00","-1.375,08","153.450,00","2.164 (0,308)","699.797,98"
52,     ,Regular,10/04/2018, ,10/04/2018, ,"3.403,63",NA,"54080,",3,"0,00","10.210,89","153.450,00","0 (0,00)","710.008,87"
53,     ,Regular,11/04/2018, ,11/04/2018, ,"1,47",NA,"54080,",3,"0,00","4,41","153.450,00","0 (0,00)","710.013,28"
54,     ,Regular,12/04/2018, ,12/04/2018, ,"-572,83",NA,"54080,",3,"0,00","-1.718,49","153.450,00","1.718 (0,242)","708.294,79"
55,     ,Regular,13/04/2018, ,13/04/2018, ,"-8,12",NA,"54080,",3,"0,00","-24,36","153.450,00","1.743 (0,245)","708.270,43"
56,     ,Regular,16/04/2018, ,16/04/2018, ,"345,49",NA,"54080,",3,"0,00","1.036,47","153.450,00","706 (0,0995)","709.306,90"
57,     ,Regular,17/04/2018, ,17/04/2018, ,"518,23",NA,"54080,",3,"0,00","1.554,69","153.450,00","0 (0,00)","710.861,59"
58,     ,Regular,18/04/2018, ,18/04/2018, ,"-380,31",NA,"54080,",3,"0,00","-1.140,93","153.450,00","1.141 (0,160)","709.720,66"
