EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,08/02/2016, ,08/02/2016, ,"527,11",NA,"58750,",3,"0,00","1.581,33","153.450,00","0 (0,00)","443.602,33"
2,     ,Regular,09/02/2016, ,09/02/2016, ,"1.634,59",NA,"58750,",3,"0,00","4.903,77","153.450,00","0 (0,00)","448.506,10"
3,     ,Regular,10/02/2016, ,10/02/2016, ,"15,76",NA,"58750,",3,"0,00","47,28","153.450,00","0 (0,00)","448.553,38"
4,     ,Regular,11/02/2016, ,11/02/2016, ,"-589,92",NA,"58750,",3,"0,00","-1.769,76","153.450,00","1.770 (0,395)","446.783,62"
5,     ,Regular,12/02/2016, ,12/02/2016, ,"-614,55",NA,"58750,",3,"0,00","-1.843,65","153.450,00","3.613 (0,806)","444.939,97"
6,     ,Regular,15/02/2016, ,15/02/2016, ,"1.280,77",NA,"58750,",3,"0,00","3.842,31","153.450,00","0 (0,00)","448.782,28"
7,     ,Regular,16/02/2016, ,16/02/2016, ,"-1.153,48",NA,"58750,",3,"0,00","-3.460,44","153.450,00","3.460 (0,771)","445.321,84"
8,     ,Regular,17/02/2016, ,17/02/2016, ,"-23,64",NA,"58750,",3,"0,00","-70,92","153.450,00","3.531 (0,787)","445.250,92"
9,     ,Regular,18/02/2016, ,18/02/2016, ,"3.264,87",NA,"58750,",3,"0,00","9.794,61","153.450,00","0 (0,00)","455.045,53"
10,     ,Regular,19/02/2016, ,19/02/2016, ,"-160,94",NA,"58750,",3,"0,00","-482,82","153.450,00","483 (0,106)","454.562,71"
11,     ,Regular,22/02/2016, ,22/02/2016, ,"1.641,32",NA,"58750,",3,"0,00","4.923,96","153.450,00","0 (0,00)","459.486,67"
12,     ,Regular,23/02/2016, ,23/02/2016, ,"940,76",NA,"58750,",3,"0,00","2.822,28","153.450,00","0 (0,00)","462.308,95"
13,     ,Regular,24/02/2016, ,24/02/2016, ,"-585,78",NA,"58750,",3,"0,00","-1.757,34","153.450,00","1.757 (0,380)","460.551,61"
