EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,08/01/2018, ,08/01/2018, ,"37,00",NA,"61000,",3,"0,00","111,00","153.450,00","0 (0,00)","619.468,00"
2,     ,Regular,09/01/2018, ,09/01/2018, ,"232,17",NA,"61000,",3,"0,00","696,51","153.450,00","0 (0,00)","620.164,51"
3,     ,Regular,10/01/2018, ,10/01/2018, ,"-589,92",NA,"61000,",3,"0,00","-1.769,76","153.450,00","1.770 (0,285)","618.394,75"
4,     ,Regular,11/01/2018, ,11/01/2018, ,"-130,89",NA,"61000,",3,"0,00","-392,67","153.450,00","2.162 (0,349)","618.002,08"
5,     ,Regular,12/01/2018, ,12/01/2018, ,"328,25",NA,"61000,",3,"0,00","984,75","153.450,00","1.178 (0,190)","618.986,83"
6,     ,Regular,15/01/2018, ,15/01/2018, ,"-138,67",NA,"61000,",3,"0,00","-416,01","153.450,00","1.594 (0,257)","618.570,82"
7,     ,Regular,16/01/2018, ,16/01/2018, ,"649,06",NA,"61000,",3,"0,00","1.947,18","153.450,00","0 (0,00)","620.518,00"
8,     ,Regular,17/01/2018, ,17/01/2018, ,"408,47",NA,"61000,",3,"0,00","1.225,41","153.450,00","0 (0,00)","621.743,41"
9,     ,Regular,19/01/2018, ,19/01/2018, ,"-299,40",NA,"61000,",3,"0,00","-898,20","153.450,00","898 (0,144)","620.845,21"
10,     ,Regular,22/01/2018, ,22/01/2018, ,"-57,06",NA,"61000,",3,"0,00","-171,18","153.450,00","1.069 (0,172)","620.674,03"
11,     ,Regular,23/01/2018, ,23/01/2018, ,"166,05",NA,"61000,",3,"0,00","498,15","153.450,00","571 (0,0919)","621.172,18"
12,     ,Regular,24/01/2018, ,24/01/2018, ,"1.172,68",NA,"61000,",3,"0,00","3.518,04","153.450,00","0 (0,00)","624.690,22"
13,     ,Regular,25/01/2018, ,25/01/2018, ,"-36,20",NA,"61000,",3,"0,00","-108,60","153.450,00","109 (0,0174)","624.581,62"
14,     ,Regular,31/01/2018, ,31/01/2018, ,"356,33",NA,"61000,",3,"0,00","1.068,99","153.450,00","0 (0,00)","625.650,61"
15,     ,Regular,02/02/2018, ,02/02/2018, ,"-1.164,65",NA,"61000,",3,"0,00","-3.493,95","153.450,00","3.494 (0,558)","622.156,66"
16,     ,Regular,05/02/2018, ,05/02/2018, ,"615,52",NA,"61000,",3,"0,00","1.846,56","153.450,00","1.647 (0,263)","624.003,22"
17,     ,Regular,06/02/2018, ,06/02/2018, ,"1.966,85",NA,"61000,",3,"0,00","5.900,55","153.450,00","0 (0,00)","629.903,77"
18,     ,Regular,07/02/2018, ,07/02/2018, ,"502,47",NA,"61000,",3,"0,00","1.507,41","153.450,00","0 (0,00)","631.411,18"
19,     ,Regular,08/02/2018, ,08/02/2018, ,"-589,92",NA,"61000,",3,"0,00","-1.769,76","153.450,00","1.770 (0,280)","629.641,42"
20,     ,Regular,09/02/2018, ,09/02/2018, ,"1.968,88",NA,"61000,",3,"0,00","5.906,64","153.450,00","0 (0,00)","635.548,06"
21,     ,Regular,13/02/2018, ,13/02/2018, ,"369,86",NA,"61000,",3,"0,00","1.109,58","153.450,00","0 (0,00)","636.657,64"
22,     ,Regular,14/02/2018, ,14/02/2018, ,"834,75",NA,"61000,",3,"0,00","2.504,25","153.450,00","0 (0,00)","639.161,89"
23,     ,Regular,16/02/2018, ,16/02/2018, ,"512,40",NA,"61000,",3,"0,00","1.537,20","153.450,00","0 (0,00)","640.699,09"
24,     ,Regular,19/02/2018, ,19/02/2018, ,"58,51",NA,"61000,",3,"0,00","175,53","153.450,00","0 (0,00)","640.874,62"
25,     ,Regular,20/02/2018, ,20/02/2018, ,"-369,75",NA,"61000,",3,"0,00","-1.109,25","153.450,00","1.109 (0,173)","639.765,37"
26,     ,Regular,21/02/2018, ,21/02/2018, ,"-672,86",NA,"61000,",3,"0,00","-2.018,58","153.450,00","3.128 (0,488)","637.746,79"
27,     ,Regular,22/02/2018, ,22/02/2018, ,"-312,51",NA,"61000,",3,"0,00","-937,53","153.450,00","4.065 (0,634)","636.809,26"
28,     ,Regular,23/02/2018, ,23/02/2018, ,"831,67",NA,"61000,",3,"0,00","2.495,01","153.450,00","1.570 (0,245)","639.304,27"
29,     ,Regular,27/02/2018, ,27/02/2018, ,"-594,86",NA,"61000,",3,"0,00","-1.784,58","153.450,00","3.355 (0,523)","637.519,69"
30,     ,Regular,28/02/2018, ,28/02/2018, ,"353,54",NA,"61000,",3,"0,00","1.060,62","153.450,00","2.294 (0,358)","638.580,31"
31,     ,Regular,01/03/2018, ,01/03/2018, ,"1.261,23",NA,"61000,",3,"0,00","3.783,69","153.450,00","0 (0,00)","642.364,00"
32,     ,Regular,02/03/2018, ,02/03/2018, ,"-1.976,12",NA,"61000,",3,"0,00","-5.928,36","153.450,00","5.928 (0,923)","636.435,64"
33,     ,Regular,05/03/2018, ,05/03/2018, ,"1.147,81",NA,"61000,",3,"0,00","3.443,43","153.450,00","2.485 (0,387)","639.879,07"
34,     ,Regular,07/03/2018, ,07/03/2018, ,"284,19",NA,"61000,",3,"0,00","852,57","153.450,00","1.632 (0,254)","640.731,64"
35,     ,Regular,12/03/2018, ,12/03/2018, ,"-129,22",NA,"61000,",3,"0,00","-387,66","153.450,00","2.020 (0,314)","640.343,98"
36,     ,Regular,13/03/2018, ,13/03/2018, ,"1.156,80",NA,"61000,",3,"0,00","3.470,40","153.450,00","0 (0,00)","643.814,38"
